"Source:","E:\Kicad\EPM7128\EPM7128 Adapter.kicad_sch"
"Date:","2026-04-13T09:42:42+0100"
"Tool:","Eeschema 9.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","21"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4, C5, C6, C7, C8","8","100nF","C","Mod:C1206","Unpolarized capacitor","",""
"DATAMAN0","1","Pin-Pin Headers 1x24","DIL48","Mod:DIL48","IC Socket: 24+24 Pos Receptacle DIL Straight THT","",""
"J1","1","Conn_01x02","TSW-102-07-G-S","Mod:SAMTEC_TSW-102-07-G-S","","",""
"J2","1","Conn_02x05_Odd_Even","TSW-105-07-L-D","Mod:SAMTEC_TSW-105-07-L-D","","",""
"J3, J4","2","TSW-124-08-T-T","TSW-124-08-T-T","Mod:SAMTEC_TSW-124-08-T-T","","",""
"PLCC84","1","~","EPM7128SLC84-10","Mod:PLCC84AT","","",""
"RA1, RA2, RA3","3","10k","R_Network09_US","Mod:4610M101103LF","9 resistor network, star topology, bussed resistors, small US symbol","",""
"UNK_HOLE_0, UNK_HOLE_1, UNK_HOLE_2, UNK_HOLE_3","4","Extraction Hole","MountingHole","MountingHole:MountingHole_2.7mm_M2.5","Mounting Hole without connection","",""
